datetime,open,high,low,close,volume,symbol
2024-12-11 09:30:00,137.40500,138.050003,135.21001,137.73911,34715150,NVDA
2024-12-11 10:00:00,137.72000,137.81500,136.070007,136.20500,14257441,NVDA
2024-12-11 10:30:00,136.19800,136.78999,135.44,135.91499,11366214,NVDA
2024-12-11 11:00:00,135.91000,137.71001,135.87010,137.64999,11404903,NVDA
2024-12-11 11:30:00,137.64999,138.34000,137.17999,138.34000,10015393,NVDA
2024-12-11 12:00:00,138.33000,139.050003,138.059998,138.63000,11956204,NVDA
2024-12-11 12:30:00,138.63989,138.88000,138.23000,138.86861,6815795,NVDA
2024-12-11 13:00:00,138.86620,139.17999,138.63000,139.17880,7440521,NVDA
2024-12-11 13:30:00,139.17979,139.77000,139.10001,139.74159,9035652,NVDA
2024-12-11 14:00:00,139.75,139.92999,139.28000,139.45450,7383965,NVDA
2024-12-11 14:30:00,139.45039,140.13000,139.35001,139.77029,8539749,NVDA
2024-12-11 15:00:00,139.78000,140.17000,139.36000,140.11160,10083042,NVDA
2024-12-11 15:30:00,140.11501,140.11501,138.94000,139.27000,13537749,NVDA
2024-12-12 09:30:00,137.10001,137.55000,135.88000,136.89999,34777306,NVDA
2024-12-12 10:00:00,136.89999,137.20000,135.80000,136.67400,17326805,NVDA
2024-12-12 10:30:00,136.66000,137.53000,136.38000,137.070007,11726481,NVDA
2024-12-12 11:00:00,137.070007,137.39000,136.52139,136.72000,7164869,NVDA
2024-12-12 11:30:00,136.73000,136.89000,136.090103,136.24500,6571753,NVDA
2024-12-12 12:00:00,136.24001,137.39000,136.15500,137.37010,6985027,NVDA
2024-12-12 12:30:00,137.37000,138,136.95000,137.90829,7492904,NVDA
2024-12-12 13:00:00,137.89999,138.41000,137.74001,138.20500,8997440,NVDA
2024-12-12 13:30:00,138.20500,138.25,137.32001,137.49001,6999430,NVDA
2024-12-12 14:00:00,137.49001,138.10001,137.38000,137.96091,6280440,NVDA
2024-12-12 14:30:00,137.96001,138.12000,137.81000,138.059799,5834787,NVDA
2024-12-12 15:00:00,138.050003,138.050003,137.27000,137.38499,6148127,NVDA
2024-12-12 15:30:00,137.39000,137.75,137,137.31000,9286520,NVDA
2024-12-13 09:30:00,139,139.60001,137.48500,138.87000,31243273,NVDA
2024-12-13 10:00:00,138.87000,139.10001,136.45000,136.49001,18103973,NVDA
2024-12-13 10:30:00,136.50999,137,134.029999,134.16000,24401089,NVDA
2024-12-13 11:00:00,134.14999,134.28000,132.53999,132.95000,30819932,NVDA
2024-12-13 11:30:00,132.95171,133.96001,132.89999,133.52600,17383392,NVDA
2024-12-13 12:00:00,133.52000,134.14999,133.24310,133.28000,14604226,NVDA
2024-12-13 12:30:00,133.30000,133.67990,132.85001,133.52010,10328698,NVDA
2024-12-13 13:00:00,133.53000,134.53000,133.5,134.52950,8329688,NVDA
2024-12-13 13:30:00,134.52499,134.62000,134.21001,134.32640,6260022,NVDA
2024-12-13 14:00:00,134.32001,134.75,133.95000,134.63480,7805075,NVDA
2024-12-13 14:30:00,134.63229,134.92000,133.64999,133.72000,13426627,NVDA
2024-12-13 15:00:00,133.71651,134.14000,133.67999,133.98700,9408972,NVDA
2024-12-13 15:30:00,133.98000,134.31000,133.72000,134.22000,14372220,NVDA
2024-12-16 09:30:00,134.16499,134.39999,130.45000,132.51990,49916873,NVDA
2024-12-16 10:00:00,132.50999,132.85910,130.42000,132.29010,23941819,NVDA
2024-12-16 10:30:00,132.30000,132.46001,131.33009,131.55000,14103584,NVDA
2024-12-16 11:00:00,131.55051,132.17000,130.89000,130.92990,13069205,NVDA
2024-12-16 11:30:00,130.92010,131.42999,130.69009,131.38010,11423976,NVDA
2024-12-16 12:00:00,131.39000,131.57001,130.44000,130.96300,11752802,NVDA
2024-12-16 12:30:00,130.96001,131.47000,130.82001,131.47000,9054349,NVDA
2024-12-16 13:00:00,131.46201,132.039993,131.25999,131.31841,10047965,NVDA
2024-12-16 13:30:00,131.31000,131.41000,130.71001,131.11720,10442436,NVDA
2024-12-16 14:00:00,131.12000,131.78000,131.050003,131.61000,12972492,NVDA
2024-12-16 14:30:00,131.63000,132.78000,131.59000,131.91000,12763605,NVDA
2024-12-16 15:00:00,131.95000,132.73990,131.95000,132.39999,9406426,NVDA
2024-12-16 15:30:00,132.39000,132.44000,131.52000,131.99001,16535787,NVDA
2024-12-17 09:30:00,129,129.61000,127.22000,127.45000,58928477,NVDA
2024-12-17 10:00:00,127.44000,128.39999,126.86000,127.62000,28533834,NVDA
2024-12-17 10:30:00,127.62000,129.30000,127.62000,128.90919,19799600,NVDA
2024-12-17 11:00:00,128.90990,129.14999,128.27000,128.99001,13853814,NVDA
2024-12-17 11:30:00,128.98000,130.62000,128.81000,129.74001,16311099,NVDA
2024-12-17 12:00:00,129.75999,131.21001,129.50999,131.19000,14618683,NVDA
2024-12-17 12:30:00,131.20000,131.59000,130.64999,130.91000,10708472,NVDA
2024-12-17 13:00:00,130.91000,131.19000,129.71001,129.72430,9860528,NVDA
2024-12-17 13:30:00,129.72501,129.93990,129.25,129.74091,9347750,NVDA
2024-12-17 14:00:00,129.75,130.19991,129.49001,129.89999,7587977,NVDA
2024-12-17 14:30:00,129.89999,130.0099945,129.42000,129.84000,6834395,NVDA
2024-12-17 15:00:00,129.84500,130,129.10001,129.32491,8754790,NVDA
2024-12-17 15:30:00,129.32500,130.41000,128.82001,130.35001,19970966,NVDA
2024-12-18 09:30:00,133.87000,135.78000,132.81000,134.86000,39304024,NVDA
2024-12-18 10:00:00,134.86000,135.58000,134.22501,135.56371,12615531,NVDA
2024-12-18 10:30:00,135.56010,136.20000,135.27000,135.95000,11897266,NVDA
2024-12-18 11:00:00,135.95990,136.70000,134.95500,135.25,12237428,NVDA
2024-12-18 11:30:00,135.27000,135.39000,134.66000,135.15990,7823077,NVDA
2024-12-18 12:00:00,135.15500,135.86000,134.82001,135.61501,6296453,NVDA
2024-12-18 12:30:00,135.61990,135.77000,135.11000,135.72000,39046507,NVDA
2024-12-18 13:00:00,135.72000,136.42000,135.69000,135.98500,5548368,NVDA
2024-12-18 13:30:00,135.98000,136.33501,135.5,135.64000,5120891,NVDA
2024-12-18 14:00:00,135.64999,135.69000,133.74001,133.87000,13510614,NVDA
2024-12-18 14:30:00,133.85201,134.45000,132.38000,132.70000,11494106,NVDA
2024-12-18 15:00:00,132.71001,132.89999,130.78999,130.97000,12354512,NVDA
2024-12-18 15:30:00,130.95500,131.57990,128.41000,128.83000,141774928,NVDA
2024-12-19 09:30:00,131.72000,131.89999,129.82170,130.94000,37282307,NVDA
2024-12-19 10:00:00,130.92999,132.059998,129.95000,130.22000,19112455,NVDA
2024-12-19 10:30:00,130.22000,131.95000,129.55000,131.62000,17970648,NVDA
2024-12-19 11:00:00,131.59000,133.44000,130.80141,133.14990,15626949,NVDA
2024-12-19 11:30:00,133.12000,134.029999,132.71001,133.050003,13756548,NVDA
2024-12-19 12:00:00,133.050003,133.17999,131.45000,131.61729,8986298,NVDA
2024-12-19 12:30:00,131.60500,132.59000,131.56000,132.39600,10338214,NVDA
2024-12-19 13:00:00,132.38000,132.38000,131.52000,131.74001,8065901,NVDA
2024-12-19 13:30:00,131.74500,132.95000,131.57001,132.89000,7161005,NVDA
2024-12-19 14:00:00,132.87000,132.87000,132,132.040894,6695357,NVDA
2024-12-19 14:30:00,132.059998,132.089996,131.31000,131.53011,6906304,NVDA
2024-12-19 15:00:00,131.55000,132.089996,130.95000,131.57010,8648257,NVDA
2024-12-19 15:30:00,131.59000,131.89999,130.30000,130.67200,15479724,NVDA
2024-12-20 09:30:00,129.81000,130,128.22000,129.67500,55521475,NVDA
2024-12-20 10:00:00,129.69000,132.5,129.62000,132.44679,18440146,NVDA
2024-12-20 10:30:00,132.44051,133.53999,132.36000,132.94530,15815454,NVDA
2024-12-20 11:00:00,132.96001,134.14999,132.80000,133.91000,16278551,NVDA
2024-12-20 11:30:00,133.91000,134.80000,133.82001,134.35229,12763002,NVDA
